Known Planet Name,X,Y,RA,Dec,Rand. Dist.,Region,Sector,Grid,Link,technicalId,Source : http://www.swgalaxymap.com/,url,title,is_character,side_bar,paragraph,crosslinks,Empire,Rebel
Aargau,603.07,-298.13,0.08732728549,24.58582975,382999686,Core,,L10,http://starwars.wikia.com/wiki/Aargau,104.0,,https://starwars.fandom.com/wiki/Aargau,Aargau,False,"{'Astrographical information': {'Region': 'Core Worlds', 'Grid coordinates': 'L-10'}, 'Physical information': {'Points of interest': 'Bank of Aargau'}}","Aargau was an astronomical object located in the galaxy's Core Worlds, in grid square L-10 on the Standard Galactic Grid, that was headquarters of the Bank of Aargau.
","['Core_Worlds', 'Sexes', 'Standard_Galactic_Grid', 'Bank_of_Aargau', 'Easy_Xiukhan', 'Canon', 'The_galaxy']",0,0
Aargonar,8605.33,3766.02,0.0872474777,24.58643773,382999827,Mid Rim,Perkell Sector,Q7,http://starwars.wikia.com/wiki/Aargonar,1848.0,,https://starwars.fandom.com/wiki/Aargonar,Aargonar,False,"{'Physical information': {'Points of interest': 'Aargonar Separatist base'}, 'Societal information': {'Affiliation': 'Confederacy of Independent Systems'}}","Aargonar was a planet located in the galaxy. During the Clone Wars, the husband of Senator Mina Bonteri went there to set up a base for the Confederacy of Independent Systems, but was killed when Republic clone troopers attacked. It was the homeworld of Imperial stormtrooper TK-14057.
","['Stormtrooper', 'Galactic_Republic', 'Battle_of_Aargonar_(Clone_Wars)', 'Confederacy_of_Independent_Systems', 'Mina_Bonteri%27s_husband', 'Clone_trooper', 'TK-14057', 'Clone_Wars', 'Planet', 'Galactic_Empire', 'Aargonar_Separatist_base', 'Senator', 'Canon', 'Death', 'Mina_Bonteri', 'The_galaxy']",0,0
Abafar,4275.84,6594.25,0.08729065638,24.58686083,382999545,Outer Rim,Sprizen Sector,N5,http://starwars.wikia.com/wiki/Abafar,2056.0,,https://starwars.fandom.com/wiki/Abafar,Abafar,False,"{'Astrographical information': {'Region': 'Outer Rim Territories', 'Sector': 'Sprizen sector', 'System': 'Abafar system'}, 'Physical information': {'Diameter': ['12 11 714'], 'Atmosphere': 'Breathable', 'Climate': ['Hot', 'dry'], 'Primary terrain': 'Desert', 'Surface water': ['80 40 000'], 'Points of interest': ['Rhydonium mining installation', 'The Void'], 'Fauna': 'Void strider'}, 'Societal information': {'Immigrated species': ['Human', 'Sullustan'], 'Major cities': 'Pons Ora', 'Major exports': 'Rhydonium', 'Affiliation': 'Unallied '}}","Abafar was a remote desert planet located within the Outer Rim Territories, and was host to massive amounts of rhydonium, a scarce and volatile fuel source. The large desert was known as the Void, and light was twisted in a way by the strange regolith that made it impossible to see tracks because there were no shadows. During the Clone Wars, the Confederacy of Independent Systems set up a mining installation in the settlement of Pons Ora. The planet wasn't very populated. During the reign of the Galactic Empire, the Hutt crime lord Jabba Desilijic Tiure had a drilling platform on Abafar to mine rhydonium. Following the Battle of Endor, the New Republic pilot Wedge Antilles visited Abafar whilst looking for Imperial forces that may have been hiding in the Outer Rim.
","['Mission_to_Aut-O%27s_flagship', 'Onderonian_Civil_War', 'Battle_of_Endor', 'Captain', 'Meebur_Gascon', 'Sullustan', 'Zilkin', 'Temperature', 'D-Squad', 'Atmosphere', 'Void_strider', 'Planet', 'Galactic_Empire', 'Imperial_Military', 'Clone_Captain', '22_BBY', 'Hutt', 'Borkus', 'Nu-class_transport', 'Battle_droid', 'Galactic_Republic', 'Fuel', 'Encryption_module', 'Desert', 'Gregor', 'New_Republic', 'Mining', 'Crime_lord', 'Hologram', 'R2-D2', 'Rhydonium', 'Wedge_Antilles', 'Rhydonium_mining_installation', 'Sprizen_sector', 'Comet', 'DUM-series_pit_droid', 'WAC-47', 'Sarrish', 'Onderonian', 'Astromech_droid', 'Rex', '0_BBY', 'Rogue_One', 'Outer_Rim_Territories', 'Human', 'Escape_from_Abafar', 'Colonel', 'Republic_strategy_conference', 'Carida', 'The_Void', 'Power_Sliders', 'Canon', 'Droid', 'Pons_Ora', 'Clone_commando', 'Galactic_calendar', 'Battle_of_Sarrish', 'Dishwasher', 'Standard_year', 'Confederacy_of_Independent_Systems', 'Battle_of_Scarif', 'Carida_incident', 'Clone_Wars', 'Pilot', 'Amnesia', '19_BBY', 'Jabba_Desilijic_Tiure', 'Abafar_system', 'Imperial_Era', 'Cloning']",1,0
Abhean,9298.63,3577.8,0.08724056332,24.58640958,383000047,Mid Rim,Maldrood Sector,R7,http://starwars.wikia.com/wiki/Abhean,1828.0,,https://starwars.fandom.com/wiki/Abhean,Abhean,False,"{'Astrographical information': {'Region': 'Mid Rim', 'Grid coordinates': 'R-7', 'Trade routes': 'Perlemian Trade Route'}}","Abhean was an astronomical object located in the galaxy's Mid Rim. It was also located on the Perlemian Trade Route.
","['Perlemian_Trade_Route', 'Standard_Galactic_Grid', 'Canon', 'Mid_Rim', 'The_galaxy']",0,0
Abregado-rae,-66.5,-4750.82,0.08733396321,24.58516364,383000043,Core,,K13,http://starwars.wikia.com/wiki/Abregado-rae,78.0,,https://starwars.fandom.com/wiki/Abregado-rae,Abregado-rae,False,"{'Astrographical information': {'Region': 'Core Worlds', 'System': 'Abregado system', 'Suns': 'Anza', 'Grid coordinates': 'K-13', 'Trade routes': 'Rimma Trade Route'}, 'Physical information': {'Points of interest': 'Unidentified aquarium'}}","Abregado-rae, also known simply as Abregado and sometimes spelled Abregado-Rae, was a trade world located in the galaxy's Core Worlds. It was situated at the beginning of the Rimma Trade Route. Abregado-rae had the reputation to be a rather lawless world, and its main spaceport was as close to a safe dock for smugglers as could be found in the Core.
","['Saberfish', 'Core_Worlds', 'Smuggler', 'Standard_Galactic_Grid', 'Planet', 'Anza', 'Tibrin', 'The_galaxy', 'High_Republic_Era', 'Unidentified_aquarium', 'Starship', 'Legacy_Run', 'Unidentified_countess', 'Spaceport', 'Canon', 'Fish', 'Aquarium', 'Rimma_Trade_Route', 'Abregado_system']",0,0
Adarlon,2439.61,-15838.55,0.08730896939,24.58350494,383000101,Outer Rim,Minos Sector,M20,http://starwars.wikia.com/wiki/Adarlon,345.0,,https://starwars.fandom.com/wiki/Adarlon,Adarlon,False,{},"Adarlon was a location whose population suffered a famine while under the control of the New Republic according to claims made in the news feeds of the First Order. The stormtrooper FN-2187 viewed such a news report during a moral session within his training on Starkiller Base, shortly before his deployment to the planet Jakku.
","['Starkiller_Base', 'New_Republic', 'Stormtrooper_(First_Order)', 'Planet', 'Finn', 'Jakku', 'Canon', 'First_Order']",0,0
Aduba,14008.61,-1724.12,0.08719358995,24.58561642,383000029,Outer Rim,Bheriz Sector,U11,http://starwars.wikia.com/wiki/Aduba,951.0,,https://starwars.fandom.com/wiki/Aduba,Aduba,False,"{'Astrographical information': {'Region': 'Outer Rim Territories', 'Sector': 'Bheriz sector', 'Grid coordinates': 'U-11'}}","Aduba was an astronomical object located in the galaxy's Outer Rim Territories way out on the edge of Wild Space, positioned at the coordinates U-11 of the Standard Galactic Grid. It was the homeworld of Cobalt Hammer pilot Finch Dallow. Dallow flew crop-dusters and spotter rigs on Aduba before qualifying for a post in the New Republic scout service.
","['Finch_Dallow', 'Outer_Rim_Territories', 'Homeworld', 'Standard_Galactic_Grid', 'Wild_Space', 'Canon', 'Cobalt_Hammer', 'Pilot', 'Bheriz_sector', 'The_galaxy']",0,0
Adumar,-2910.19,5287.66,0.08736232378,24.58666537,382999824,Wild Space,,J6,http://starwars.wikia.com/wiki/Adumar,2010.0,,https://starwars.fandom.com/wiki/Adumar,Adumar,False,"{'Astrographical information': {'Region': 'Wild Space', 'System': 'Adumar system', 'Grid coordinates': 'J-6'}}","Adumar was an astronomical object located in the Adumar system of the galaxy's Wild Space.
","['Standard_Galactic_Grid', 'Wild_Space', 'Canon', 'Adumar_system', 'The_galaxy']",0,0
Aeneid,12684.62,-295.54,0.08720679431,24.58583014,382999984,Outer Rim,Kessel Sector,T10,http://starwars.wikia.com/wiki/Aeneid,1002.0,,https://starwars.fandom.com/wiki/Aeneid,Aeneid,False,"{'General information': {'Location': ['Kessel sector', 'Outer Rim Territories']}}","Aeneid was an astronomical object located in the Kessel sector of the galaxy's Outer Rim Territories.
","['Outer_Rim_Territories', 'Kessel_sector', 'Canon', 'The_galaxy']",0,0
Affa,2295.88,-5879.05,0.08731040283,24.58499486,383000002,Inner Rim,,M13,http://starwars.wikia.com/wiki/Affa,1251.0,,https://starwars.fandom.com/wiki/Affa,Affa,False,"{'Physical information': {'Primary terrain': 'Terrestrial', 'Points of interest': 'Droid factories'}}","Affa was a terrestrial planet that housed great droid factories. Arakyd Industries's RA-7 protocol droids, including DK-RA-43, were manufactured in the factories, while parts for Cybot Galactica's 3PO-series protocol droid were also manufactured on the planet.
","['Factory', 'DK-RA-43', 'Planet', 'Arakyd_Industries', 'Cybot_Galactica', 'Canon', '3PO-series_protocol_droid', 'Droid', 'RA-7_protocol_droid']",0,0
